bfs_nummer,gemeinde,total_area,score_sum,mean_score
2832,Ramlinsburg,203029.408,695366.309,3.425
1206,Erstfeld,2991639.062,10243197.104,3.424
4320,Tegerfelden,1280517.742,4384258.640,3.424
13,Stallikon,5810874.101,19890002.304,3.423
4911,Bürglen (TG),2462355.618,8427965.791,3.423
4426,Kesswil,644760.984,2206786.232,3.423
1301,Einsiedeln,9297208.028,31819060.894,3.422
4751,Rickenbach (TG),1237255.626,4231626.395,3.420
5402,Bex,6650248.331,22736911.310,3.419
4801,Berlingen,480211.995,1640896.141,3.417
4312,Lengnau (AG),2203985.269,7526690.069,3.415
3721,Bonaduz,1381674.440,4717906.705,3.415
6246,Saint-Léonard,503604.369,1719556.115,3.414
6035,Sembrancher,664770.386,2269843.229,3.414
4826,Mammern,666033.816,2273633.521,3.414
2545,Flumenthal,663961.693,2266345.850,3.413
6213,Evionnaz,666653.412,2275492.309,3.413
2823,Bubendorf,4023063.127,13731440.873,3.413
4451,Uttwil,534396.648,1823499.684,3.412
4024,Birmenstorf (AG),3610196.772,12317104.470,3.412
2333,Remaufens,610690.137,2083482.045,3.412
241,Aesch (ZH),1246041.094,4250681.048,3.411
6603,Avully,2853566.356,9734152.904,3.411
338,Rohrbach,655873.204,2237014.903,3.411
3297,Vilters-Wangs,4064851.949,13863369.390,3.411
2553,Oberdorf (SO),1608422.588,5484212.845,3.410
786,Schattenhalb,733272.131,2500121.874,3.410
2408,Wolfwil,1665963.406,5679751.705,3.409
221,Hettlingen,1898852.252,6471826.093,3.408
5653,Vufflens-le-Château,1581793.567,5390752.919,3.408
2862,Tecknau,1053750.889,3590708.044,3.408
3871,Klosters,9891596.841,33705651.034,3.408
2892,Oberdorf (BL),1715416.831,5843982.909,3.407
156,Meilen,4002604.979,13631874.514,3.406
2893,Reigoldswil,2171833.638,7392542.643,3.404
5764,Vallorbe,3662900.187,12467685.193,3.404
4199,Holderbank (AG),683049.802,2324681.477,3.403
4203,Möriken-Wildegg,2561084.409,8715666.962,3.403
538,Fraubrunnen,4789406.653,16293912.994,3.402
6152,Collombey-Muraz,7423920.548,25256575.431,3.402
6706,Courchapoix,1349186.337,4589809.391,3.402
6291,Saas-Grund,2518252.397,8565858.047,3.402
420,Rüdtligen-Alchenflüh,908594.289,3090134.277,3.401
2481,Witterswil,1325316.555,4506387.275,3.400
5656,Hautemorges,4649606.261,15808031.982,3.400
2973,Trasadingen,674742.505,2293085.232,3.398
2574,Eppenberg-Wöschnau,691830.520,2351023.632,3.398
955,Lützelflüh,2959258.945,10056326.176,3.398
493,Finsterhennen,449250.910,1526153.679,3.397
1082,Büron,2014088.491,6842059.367,3.397
2787,Laufen,2827918.881,9603055.775,3.396
